Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,47.0,1.0,47.0,47.0,0.0,1621.7866839983271,1621.7866839983271,0.0,0.0,,,,,,,,,,,,,,,,696.7649743436417,500.21695500998067,1590.62935956374,-0.0484741627267042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,91.0,2.0,44.0,91.0,0.0,1315.8678048699062,1315.8678048699062,0.0,3.842508316040039,,,,,,,,,,,,,,,,566.1269075523503,398.83023723448844,1292.250471409012,-0.03594602603094004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,107.0,3.0,16.0,107.0,0.0,462.4051097416834,462.4051097416834,0.0,5.71373176574707,,,,,,,,,,,,,,,,147.2807746886074,144.67589063076844,460.5091264731388,-0.03594602603094004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,123.0,4.0,16.0,123.0,0.0,428.06841961921185,428.06841961921185,0.0,7.453841924667358,,,,,,,,,,,,,,,,134.17876511302228,138.73057696876296,426.34790728468823,-0.03952446381390731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,170.0,5.0,47.0,170.0,0.0,1046.3375089493306,1046.3375089493306,0.0,11.37312650680542,,,,,,,,,,,,,,,,392.40195131384297,264.1601654657602,1028.9235407783585,-0.03414962423094005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,197.0,6.0,27.0,197.0,0.0,741.7914842212973,741.7914842212973,0.0,13.872044324874878,,,,,,,,,,,,,,,,247.73233313151025,234.4688711389072,735.8385497765235,-0.0556292723927523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,216.0,7.0,19.0,216.0,0.0,408.3045005592033,408.3045005592033,0.0,15.81233549118042,,,,,,,,,,,,,,,,114.1033707315374,130.5965928804493,406.54307959489904,-0.0574220867729703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,336.0,8.0,120.0,336.0,0.0,3517.7054270766484,3517.7054270766484,0.0,25.09863781929016,,,,,,,,,,,,,,,,1798.7264419492537,1030.6615629990858,3305.1634174601986,-0.041315474606709104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,353.0,9.0,17.0,353.0,0.0,496.8362491855284,496.8362491855284,0.0,26.852944374084473,,,,,,,,,,,,,,,,175.65673699853076,160.8844515730936,494.3444290856391,-0.03414782603094005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,379.0,10.0,26.0,379.0,0.0,720.9288346939688,720.9288346939688,0.0,29.410757780075073,,,,,,,,,,,,,,,,241.23304146661528,231.0543727772756,715.3721477636007,-0.05563107059275231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,429.0,11.0,50.0,429.0,0.0,1557.9786774962208,1557.9786774962208,0.0,33.39678406715393,,,,,,,,,,,,,,,,625.7437184063034,484.2967368341055,1528.2197112871922,-0.0574220975567793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,465.0,12.0,36.0,465.0,0.0,1182.095236513289,1182.095236513289,0.0,36.44920039176941,,,,,,,,,,,,,,,,466.66585217728124,358.84132650381605,1166.4617275624692,-0.04311008000490911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
